variant,seed,n,dataset,split_seed,ade_m,fde_m,normalized_ade,path_length_ratio,ade_short_m,ade_medium_m,ade_long_m,n_short,n_medium,n_long,land_pct_10,cross_pct_10,land_pct_25,cross_pct_25,max_pen_km_mean,smoothness,gt_smoothness
v4,0,500,trajgen_128_clean.npz,42,7953.9716796875,0.0,0.057836513966321945,0.9731522798538208,1751.7362060546875,10058.111328125,34426.31640625,200,275,25,1.215625,6.6000000000000005,0.178125,1.4000000000000001,3.8618646678317208,1.0726795807158851e-07,3.7657946450053714e-06
v4,1,500,trajgen_128_clean.npz,42,7764.25634765625,0.001139223575592041,0.05808303505182266,0.9752552509307861,1632.4508056640625,10350.755859375,45563.8671875,217,266,17,1.178125,5.4,0.20625000000000002,1.7999999999999998,3.6078653671542282,9.361183828104913e-08,3.7598917970171897e-06
v4,2,500,trajgen_128_clean.npz,42,7496.16943359375,0.0,0.0564359650015831,0.9877923727035522,1622.533203125,9987.4833984375,41923.875,210,274,16,1.2593750000000001,5.4,0.2796875,1.6,3.6680247591939428,8.419392116820745e-08,2.9711088700423716e-06
v4,42,500,trajgen_128_clean.npz,42,8175.4150390625,0.0,0.06033489853143692,0.9725428223609924,1744.9222412109375,10575.1943359375,33655.3515625,196,281,23,1.5703124999999998,5.6000000000000005,0.4265625,2.0,3.678162201950884,9.393131250590159e-08,5.029068415751681e-05
v4,123,500,trajgen_128_clean.npz,42,7998.06103515625,0.0,0.059554364532232285,0.9790170788764954,1659.6646728515625,10626.5546875,45055.70703125,208,276,16,1.8453125000000001,7.000000000000001,0.5515625,2.0,4.120961821873458,8.33632967101039e-08,4.392893970361911e-06
v5,0,500,trajgen_128_clean.npz,42,7893.001953125,0.0,0.05828360840678215,0.9719688892364502,1822.7315673828125,10009.8603515625,33169.734375,200,275,25,1.209375,7.3999999999999995,0.10625000000000001,1.2,3.823330351180699,9.60288843998569e-08,3.7657946450053714e-06
v5,1,500,trajgen_128_clean.npz,42,7825.83740234375,0.001139223575592041,0.05871203541755676,0.9751940965652466,1675.794189453125,10416.2177734375,45797.48828125,217,266,17,1.165625,5.0,0.215625,1.7999999999999998,3.6339582531106043,7.126498502429968e-08,3.7598917970171897e-06
v5,2,500,trajgen_128_clean.npz,42,7512.3388671875,0.0,0.0569053515791893,0.9862973690032959,1623.293701171875,10052.7646484375,41301.2890625,210,274,16,1.1875,5.4,0.2078125,1.4000000000000001,3.6363756891582235,7.38902627972493e-08,2.9711088700423716e-06
v5,42,500,trajgen_128_clean.npz,42,8189.77197265625,0.0,0.061248283833265305,0.9748311042785645,1823.5472412109375,10618.6953125,32765.958984375,196,281,23,1.528125,5.800000000000001,0.403125,1.7999999999999998,3.705243390106437,8.206049528780568e-08,5.029068415751681e-05
v5,123,500,trajgen_128_clean.npz,42,8015.8583984375,0.0,0.05989227816462517,0.9776175022125244,1671.1270751953125,10662.2548828125,44847.05078125,208,276,16,1.9421875000000002,7.3999999999999995,0.50625,2.0,4.131982353680014,7.701054727249357e-08,4.392893970361911e-06
v9,0,500,trajgen_128_clean.npz,42,7312.1279296875,0.0,0.055994316935539246,0.976740837097168,1770.7852783203125,9399.9853515625,28676.443359375,200,275,25,0.71875,5.800000000000001,0.01875,0.6,3.2816679654203353,5.478264597513771e-08,3.7657946450053714e-06
v9,1,500,trajgen_128_clean.npz,42,7169.84228515625,0.001139223575592041,0.05503837764263153,0.9844563603401184,1650.5050048828125,9279.1767578125,44617.6953125,217,266,17,0.9765625,4.0,0.1734375,1.7999999999999998,3.2704013078189527,3.442020002353274e-08,3.7598917970171897e-06
v9,2,500,trajgen_128_clean.npz,42,6795.47998046875,0.0,0.05387713015079498,0.9894198179244995,1629.1009521484375,9153.919921875,34215.921875,210,274,16,1.2921874999999998,5.4,0.284375,1.4000000000000001,3.400965553183088,5.032264027704514e-08,2.9711088700423716e-06
v9,42,500,trajgen_128_clean.npz,42,7452.22900390625,0.0,0.05836455523967743,0.9800660610198975,1779.3255615234375,9813.8876953125,26941.92578125,196,281,23,1.2375,5.4,0.084375,0.8,3.1851996280303476,6.343382352724802e-08,5.029068415751681e-05
v9,123,500,trajgen_128_clean.npz,42,7344.41552734375,0.0,0.05684056505560875,0.9846737384796143,1647.65576171875,10059.2431640625,34571.5234375,208,276,16,1.465625,6.4,0.346875,2.0,3.652155367203147,5.42302380779347e-08,4.392893970361911e-06
v10_raw,0,500,trajgen_128_clean.npz,42,6017.12109375,0.0,0.05559741333127022,0.9848544597625732,2168.335205078125,7271.107421875,23013.546875,200,275,25,0.1640625,2.1999999999999997,0.0,0.0,2.7634850569013643,1.3483060001817648e-07,3.7657946450053714e-06
v10_raw,1,500,trajgen_128_clean.npz,42,6074.23681640625,0.001139223575592041,0.056784410029649734,0.9857378005981445,2015.8564453125,7528.16845703125,35128.515625,217,266,17,0.13125,1.2,0.021875000000000002,0.2,2.700047221048077,9.374257103900163e-08,3.7598917970171897e-06
v10_raw,2,500,trajgen_128_clean.npz,42,5629.98779296875,0.0,0.05591000244021416,0.9936702847480774,2111.888427734375,7259.78564453125,23894.763671875,210,274,16,0.2609375,2.4,0.0125,0.4,2.700894505569879,8.34915141467718e-08,2.9711088700423716e-06
v10_raw,42,500,trajgen_128_clean.npz,42,6277.85302734375,0.0,0.05699639022350311,0.9890004396438599,2137.813232421875,7577.662109375,25677.9296875,196,281,23,0.178125,2.1999999999999997,0.0,0.0,2.5333222064625005,1.2235412327754602e-07,5.029068415751681e-05
v10_raw,123,500,trajgen_128_clean.npz,42,6172.90087890625,0.0,0.05541286617517471,0.9909394979476929,1953.837158203125,7943.35693359375,30480.3671875,208,276,16,0.23281249999999998,2.4,0.034374999999999996,0.2,2.9545073735912593,9.354933183658432e-08,4.392893970361911e-06
