method,seed,n,dataset,k_anchor,ade_m,fde_m,normalized_ade,path_length_ratio
v10_dma,0,500,dma_128_test.npz,8,5694.9609375,512.9754028320312,0.028895273804664612,0.9848596453666687
v10_dma,1,500,dma_128_test.npz,8,5810.94921875,529.3833618164062,0.028306053951382637,0.9849937558174133
v10_dma,2,500,dma_128_test.npz,8,5815.59130859375,578.6597290039062,0.027831120416522026,0.9860453605651855
v10_dma,42,500,dma_128_test.npz,8,5868.72119140625,555.1868896484375,0.02747013047337532,0.9846940040588379
v10_dma,123,500,dma_128_test.npz,8,5896.29833984375,547.5769653320312,0.027809808030724525,0.9854220151901245
retr_top1,0,500,dma_128_test.npz,8,5993.1796875,1245.384521484375,0.03041878715157509,0.9987958669662476
retr_top1,1,500,dma_128_test.npz,8,5918.04052734375,1285.0892333984375,0.027978355064988136,0.9998804330825806
retr_top1,2,500,dma_128_test.npz,8,5723.46630859375,1218.1094970703125,0.026546314358711243,0.9993696212768555
retr_top1,42,500,dma_128_test.npz,8,5898.4814453125,1235.8902587890625,0.026595933362841606,0.999380886554718
retr_top1,123,500,dma_128_test.npz,8,5900.251953125,1415.447265625,0.02781122922897339,0.9982513189315796
great_circle,0,500,dma_128_test.npz,8,1632.14013671875,605.978515625,0.006468780804425478,0.9724627733230591
great_circle,1,500,dma_128_test.npz,8,1677.554931640625,679.766845703125,0.006505059078335762,0.9725923538208008
great_circle,2,500,dma_128_test.npz,8,1712.4560546875,658.525146484375,0.006538940593600273,0.9715986251831055
great_circle,42,500,dma_128_test.npz,8,1677.17822265625,651.0383911132812,0.006425520870834589,0.9719712734222412
great_circle,123,500,dma_128_test.npz,8,1678.593994140625,626.197021484375,0.006539914291352034,0.9714480638504028
traisformer,0,500,dma_128_test.npz,8,9528.46484375,15485.74609375,0.04506529122591019,1.014578104019165
traisformer,1,500,dma_128_test.npz,8,9629.412109375,15228.4208984375,0.04299895465373993,1.0128638744354248
traisformer,2,500,dma_128_test.npz,8,10048.9326171875,13554.623046875,0.04346570745110512,1.0138754844665527
traisformer,42,500,dma_128_test.npz,8,9546.158203125,14819.1943359375,0.04465607926249504,1.0149385929107666
traisformer,123,500,dma_128_test.npz,8,9230.5390625,13638.4189453125,0.044221650809049606,1.013437032699585
