seed,method,ade_m,fde_m,n,land_frac_pct,cross_pct
0,v10+router,5276.3,644.4,500,0.0,0.0
0,retrieval-top-1,12170.23046875,12428.2646484375,500,0.0,0.0
0,great-circle,9458.662109375,0.10388937592506409,500,2.6515625000000003,9.4
0,great-circle+snap,9176.029296875,575.1951293945312,500,0.0015625,0.2
1,v10+router,6289.5,602.9,500,0.0,0.0
1,retrieval-top-1,10679.83203125,11407.833984375,500,0.0,0.0
1,great-circle,8202.431640625,0.09168925136327744,500,2.0609375,8.0
1,great-circle+snap,7990.671875,593.8692016601562,500,0.0015625,0.2
2,v10+router,5938.5,636.0,500,0.0,0.0
2,retrieval-top-1,11190.1015625,11233.482421875,500,0.0,0.0
2,great-circle,7763.3251953125,0.1007184386253357,500,2.446875,8.0
2,great-circle+snap,7628.8984375,567.3283081054688,500,0.0,0.0
42,v10+router,6292.6,571.1,500,0.0,0.0
42,retrieval-top-1,12373.4619140625,12282.666015625,500,0.0,0.0
42,great-circle,9303.6650390625,0.10722869634628296,500,2.9156250000000004,9.0
42,great-circle+snap,9048.8486328125,560.6275024414062,500,0.0015625,0.2
123,v10+router,5853.7,583.7,500,0.003,0.2
123,retrieval-top-1,11922.392578125,11809.1142578125,500,0.0,0.0
123,great-circle,8948.990234375,0.10585813969373703,500,3.3703125,9.6
123,great-circle+snap,8574.310546875,606.2406005859375,500,0.0046875,0.4
