seed,method,ade_m,fde_m,n,land_frac_pct,cross_pct
0,v10+router,8407.0341796875,5144.75537109375,500,0.0703125,1.6
0,retrieval-top-1,6633.541015625,5925.6416015625,500,12.3765625,38.0
0,great-circle,8749.7314453125,0.10056948661804199,500,15.703125000000002,41.8
0,great-circle+snap,11281.1904296875,5144.75537109375,500,0.44687499999999997,2.6
1,v10+router,9038.95703125,5594.51708984375,500,0.08125,2.8000000000000003
1,retrieval-top-1,8552.904296875,8089.42041015625,500,13.112499999999999,37.4
1,great-circle,8327.6953125,0.10336624830961227,500,15.784375,40.2
1,great-circle+snap,11226.68359375,5594.51611328125,500,0.709375,2.1999999999999997
2,v10+router,9729.5751953125,5953.4599609375,500,0.025,1.6
2,retrieval-top-1,8760.861328125,7953.2509765625,500,13.5109375,38.0
2,great-circle,9289.76171875,0.09608816355466843,500,15.8078125,41.0
2,great-circle+snap,12284.12890625,5953.4599609375,500,0.3046875,2.1999999999999997
42,v10+router,7934.01123046875,4844.802734375,500,0.09375,1.2
42,retrieval-top-1,6470.31201171875,5602.81640625,500,11.028125,35.6
42,great-circle,8225.791015625,0.09971892088651657,500,13.4703125,41.8
42,great-circle+snap,10373.806640625,4844.802734375,500,0.5359375000000001,2.0
123,v10+router,9380.23828125,5481.2841796875,500,0.0671875,2.8000000000000003
123,retrieval-top-1,6939.923828125,6033.39111328125,500,15.262500000000001,39.2
123,great-circle,9034.03125,0.09189365804195404,500,18.0234375,42.6
123,great-circle+snap,12286.6025390625,5481.2841796875,500,0.3046875,2.8000000000000003
