split,vessel_type,class,n,mean_ade_m,median_ade_m,std_ade_m
test,60,passenger,392,4204.735468054303,2720.14747969167,5294.580690999928
test,67,passenger,46,2765.7916722816185,2515.9887456716324,1515.1096807525244
test,68,passenger,44,2423.8509082127816,2246.1061351842736,954.9460070345327
test,69,passenger,14,5671.232631623227,4176.797813212997,4335.693719506237
test,70,cargo,954,8479.232628509537,5526.565680680477,9699.95928711712
test,71,cargo,45,8612.638311600072,7106.725455486613,8839.406689114961
test,72,cargo,11,6635.175012811838,4196.4116478278775,5872.720126598241
test,73,cargo,2,6090.917786292156,6090.917786292156,1890.6836629455274
test,74,cargo,15,7765.521883261772,5192.531158325468,7269.044369642204
test,79,cargo,163,8498.099270648308,4478.518766446446,11113.754466287226
test,80,tanker,427,9264.689758238737,4784.5786845222165,16806.75199116046
test,81,tanker,27,7163.5813849310525,6242.892456069131,7177.372715256769
test,82,tanker,23,6429.308095082554,5793.848448213447,4141.342584909298
test,83,tanker,5,12163.537599685382,1979.5405605468738,20424.22602023904
test,84,tanker,68,5743.915283750524,3385.2864406934805,5096.954050396058
test,88,tanker,1,5777.4536385487545,5777.4536385487545,0.0
test,89,tanker,89,11049.349176009546,6427.044802815706,12805.67814431766
val,60,passenger,776,2479.846071755053,1307.5127895221679,5172.153362538632
val,66,passenger,80,3567.4752519918293,3471.2927791212437,1128.6874117885743
val,67,passenger,1,969.8594578711114,969.8594578711114,0.0
val,69,passenger,26,8935.167761922563,4900.8870608337775,11243.1427146914
val,70,cargo,527,8334.412501975317,5087.6252147837895,11539.279525831209
val,71,cargo,85,7966.478254005259,5663.492749678394,7754.461293424104
val,72,cargo,1,2929.87072659297,2929.87072659297,0.0
val,73,cargo,2,9348.80034880327,9348.80034880327,2891.6709458365335
val,74,cargo,14,8764.832986924843,7691.73529605241,5716.80745592104
val,77,cargo,1,6247.66266856302,6247.66266856302,0.0
val,79,cargo,56,6596.040975609964,4816.548348967491,6710.882332201703
val,80,tanker,346,10555.839408183669,5860.088369054998,21489.102979416544
val,81,tanker,10,7389.201447376805,6773.943982100747,6182.399668398411
val,82,tanker,15,8700.588915493994,7329.684504105177,7086.449599948153
val,83,tanker,2,7037.152501473331,7037.152501473331,2700.187672661979
val,84,tanker,8,5252.822140809163,5429.353280497185,2723.696914665888
val,89,tanker,50,8566.119322933026,4456.448202256419,10146.321628425656
