vessel_type,class,count,fraction
60,passenger,22658,0.37129653906659676
70,cargo,16801,0.27531790770844256
80,tanker,10223,0.16752425275301522
71,cargo,1936,0.03172522286313582
79,cargo,1910,0.03129916098584164
69,passenger,1907,0.03125
89,tanker,1716,0.028120083901415835
74,cargo,511,0.008373754588358678
68,passenger,510,0.008357367593078133
82,tanker,467,0.0076527267960146824
63,passenger,430,0.007046407970634504
81,tanker,405,0.006636733088620871
84,tanker,380,0.006227058206607236
66,passenger,361,0.005915705296276875
72,cargo,184,0.003015207131620346
73,cargo,105,0.0017206345044572628
67,passenger,101,0.0016550865233350813
83,tanker,80,0.0013109596224436288
77,cargo,73,0.0011962506554798113
78,cargo,72,0.0011798636601992659
62,passenger,66,0.0010815416885159937
88,tanker,37,0.0006063188253801783
75,cargo,34,0.0005571578395385422
85,tanker,26,0.00042606187729417934
76,cargo,25,0.00040967488201363396
65,passenger,4,6.554798112218144e-05
61,passenger,1,1.638699528054536e-05
64,passenger,1,1.638699528054536e-05
